Province/State,Country/Region,Lat,Long,4/5/2020
Afghanistan,Afghanistan,33,65,7
Albania,Albania,41.1533,20.1683,20
Algeria,Algeria,28.0339,1.6596,152
Andorra,Andorra,42.5063,1.5218,18
Angola,Angola,-11.2027,17.8739,2
Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,0
Argentina,Argentina,-38.4161,-63.6167,44
Armenia,Armenia,40.0691,45.0382,7
Australia,Australia,-35.4735,149.0124,2
Australia,Australia,-33.8688,151.2093,16
Australia,Australia,-12.4634,130.8456,0
Australia,Australia,-28.0167,153.4,4
Australia,Australia,-34.9285,138.6007,0
Australia,Australia,-41.4545,145.9707,2
Australia,Australia,-37.8136,144.9631,8
Australia,Australia,-31.9505,115.8605,3
Austria,Austria,47.5162,14.5501,204
Azerbaijan,Azerbaijan,40.1431,47.5769,7
Bahamas,Bahamas,25.0343,-77.3963,4
Bahrain,Bahrain,26.0275,50.55,4
Bangladesh,Bangladesh,23.685,90.3563,9
Barbados,Barbados,13.1939,-59.5432,1
Belarus,Belarus,53.7098,27.9534,8
Belgium,Belgium,50.8333,4,1447
Benin,Benin,9.3077,2.3158,0
Bhutan,Bhutan,27.5142,90.4336,0
Bolivia,Bolivia,-16.2902,-63.5887,10
Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,23
Brazil,Brazil,-14.235,-51.9253,486
Brunei,Brunei,4.5353,114.7277,1
Bulgaria,Bulgaria,42.7339,25.4858,20
Burkina Faso,Burkina Faso,12.2383,-1.5616,17
Cabo Verde,Cabo Verde,16.5388,-23.0418,1
Cambodia,Cambodia,11.55,104.9167,0
Cameroon,Cameroon,3.848,11.5021,9
Canada,Canada,53.9333,-116.5765,20
Canada,Canada,49.2827,-123.1207,38
Canada,Canada,37.6489,-122.6655,0
Canada,Canada,53.7609,-98.8139,2
Canada,Canada,46.5653,-66.4619,0
Canada,Canada,53.1355,-57.6604,1
Canada,Canada,44.682,-63.7443,0
Canada,Canada,51.2538,-85.3232,119
Canada,Canada,46.5107,-63.4168,0
Canada,Canada,52.9399,-73.5491,75
Canada,Canada,52.9399,-106.4509,3
Central African Republic,Central African Republic,6.6111,20.9394,0
Chad,Chad,15.4542,18.7322,0
Chile,Chile,-35.6751,-71.543,34
China,China,31.8257,117.2264,6
China,China,40.1824,116.4142,8
China,China,30.0572,107.874,6
China,China,26.0789,117.9874,1
China,China,37.8099,101.0583,2
China,China,23.3417,113.4244,8
China,China,23.8298,108.7881,2
China,China,26.8154,106.8748,2
China,China,19.1959,109.7453,6
China,China,39.549,116.1306,6
China,China,47.862,127.7615,13
China,China,33.882,113.614,22
China,China,22.3,114.2,4
China,China,30.9756,112.2707,3210
China,China,27.6104,111.7088,4
China,China,44.0935,113.9448,1
China,China,32.9711,119.455,0
China,China,27.614,115.7221,1
China,China,43.6661,126.1923,1
China,China,41.2956,122.6085,2
China,China,22.1667,113.55,0
China,China,37.2692,106.1655,0
China,China,35.7452,95.9956,0
China,China,35.1917,108.8701,3
China,China,36.3427,118.1498,7
China,China,31.202,121.4491,6
China,China,37.5777,112.2922,0
China,China,30.6171,102.7103,3
China,China,39.3054,117.323,3
China,China,31.6927,88.0924,0
China,China,41.1129,85.2401,3
China,China,24.974,101.487,2
China,China,29.1832,120.0934,1
Colombia,Colombia,4.5709,-74.2973,35
Congo (Brazzaville),Congo (Brazzaville),-4.0383,21.7587,5
Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,18
Costa Rica,Costa Rica,9.7489,-83.7534,2
Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,3
Croatia,Croatia,45.1,15.2,15
Cuba,Cuba,22,-80,8
Cyprus,Cyprus,35.1264,33.4299,9
Czechia,Czechia,49.8175,15.473,67
Denmark,Denmark,61.8926,-6.9118,0
Denmark,Denmark,71.7069,-42.6043,0
Denmark,Denmark,56.2639,9.5018,179
Djibouti,Djibouti,11.8251,42.5903,0
Dominican Republic,Dominican Republic,18.7357,-70.1627,82
Ecuador,Ecuador,-1.8312,-78.1834,180
Egypt,Egypt,26,30,78
El Salvador,El Salvador,13.7942,-88.8965,3
Equatorial Guinea,Equatorial Guinea,1.5,10,0
Eritrea,Eritrea,15.1794,39.7823,0
Estonia,Estonia,58.5953,25.0136,15
Eswatini,Eswatini,-26.5225,31.4659,0
Ethiopia,Ethiopia,9.145,40.4897,2
Fiji,Fiji,-17.7134,178.065,0
Finland,Finland,64,26,28
France,France,3.9339,-53.1258,0
France,France,-17.6797,149.4068,0
France,France,16.25,-61.5833,7
France,France,-12.8275,45.1662,2
France,France,-20.9043,165.618,0
France,France,-21.1351,55.2471,0
France,France,17.9,-62.8333,0
France,France,18.0708,-63.0501,2
France,France,14.6415,-61.0242,4
France,France,46.2276,2.2137,8078
Gabon,Gabon,-0.8037,11.6094,1
Gambia,Gambia,13.4432,-15.3101,1
Georgia,Georgia,42.3154,43.3569,2
Germany,Germany,51,9,1584
Ghana,Ghana,7.9465,-1.0232,5
Greece,Greece,39.0742,21.8243,73
Guatemala,Guatemala,15.7835,-90.2308,2
Guinea,Guinea,9.9456,-9.6966,0
Guyana,Guyana,5,-58.75,4
Haiti,Haiti,18.9712,-72.2852,1
Holy See,Holy See,41.9029,12.4534,0
Honduras,Honduras,15.2,-86.2419,22
Hungary,Hungary,47.1625,19.5033,34
Iceland,Iceland,64.9631,-19.0208,4
India,India,21,78,99
Indonesia,Indonesia,-0.7893,113.9213,198
Iran,Iran,32,53,3603
Iraq,Iraq,33,44,61
Ireland,Ireland,53.1424,-7.6921,158
Israel,Israel,31,35,49
Italy,Italy,43,12,15887
Jamaica,Jamaica,18.1096,-77.2975,3
Japan,Japan,36,138,77
Jordan,Jordan,31.24,36.51,5
Kazakhstan,Kazakhstan,48.0196,66.9237,6
Kenya,Kenya,-0.0236,37.9062,4
"Korea, South","Korea, South",36,128,183
Kuwait,Kuwait,29.5,47.75,1
Kyrgyzstan,Kyrgyzstan,41.2044,74.7661,1
Latvia,Latvia,56.8796,24.6032,1
