Province/State,Country/Region,Lat,Long,4/5/2020
Afghanistan,Afghanistan,33,65,15
Albania,Albania,41.1533,20.1683,104
Algeria,Algeria,28.0339,1.6596,90
Andorra,Andorra,42.5063,1.5218,26
Angola,Angola,-11.2027,17.8739,2
Antigua and Barbuda,Antigua and Barbuda,17.0608,-61.7964,0
Argentina,Argentina,-38.4161,-63.6167,280
Armenia,Armenia,40.0691,45.0382,57
Australia,Australia,-35.4735,149.0124,28
Australia,Australia,-33.8688,151.2093,4
Australia,Australia,-12.4634,130.8456,1
Australia,Australia,-28.0167,153.4,8
Australia,Australia,-34.9285,138.6007,46
Australia,Australia,-41.4545,145.9707,5
Australia,Australia,-37.8136,144.9631,573
Australia,Australia,-31.9505,115.8605,92
Austria,Austria,47.5162,14.5501,2998
Azerbaijan,Azerbaijan,40.1431,47.5769,32
Bahamas,Bahamas,25.0343,-77.3963,0
Bahrain,Bahrain,26.0275,50.55,431
Bangladesh,Bangladesh,23.685,90.3563,33
Barbados,Barbados,13.1939,-59.5432,6
Belarus,Belarus,53.7098,27.9534,52
Belgium,Belgium,50.8333,4,3751
Belize,Belize,13.1939,-59.5432,0
Benin,Benin,9.3077,2.3158,5
Bhutan,Bhutan,27.5142,90.4336,2
Bolivia,Bolivia,-16.2902,-63.5887,2
Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,30
Brazil,Brazil,-14.235,-51.9253,127
Brunei,Brunei,4.5353,114.7277,73
Bulgaria,Bulgaria,42.7339,25.4858,37
Burkina Faso,Burkina Faso,12.2383,-1.5616,90
Cabo Verde,Cabo Verde,16.5388,-23.0418,0
Cambodia,Cambodia,11.55,104.9167,50
Cameroon,Cameroon,3.848,11.5021,17
Canada,Canada,56.1304,-106.3468,3012
Central African Republic,Central African Republic,6.6111,20.9394,0
Chad,Chad,15.4542,18.7322,0
Chile,Chile,-35.6751,-71.543,618
China,China,31.8257,117.2264,984
China,China,40.1824,116.4142,441
China,China,30.0572,107.874,570
China,China,26.0789,117.9874,303
China,China,37.8099,101.0583,131
China,China,23.3417,113.4244,1387
China,China,23.8298,108.7881,252
China,China,26.8154,106.8748,144
China,China,19.1959,109.7453,162
China,China,39.549,116.1306,310
China,China,47.862,127.7615,469
China,China,33.882,113.614,1251
China,China,22.3,114.2,206
China,China,30.9756,112.2707,63945
China,China,27.6104,111.7088,1014
China,China,44.0935,113.9448,74
China,China,32.9711,119.455,633
China,China,27.614,115.7221,935
China,China,43.6661,126.1923,92
China,China,41.2956,122.6085,126
China,China,22.1667,113.55,10
China,China,37.2692,106.1655,75
China,China,35.7452,95.9956,18
China,China,35.1917,108.8701,245
China,China,36.3427,118.1498,755
China,China,31.202,121.4491,383
China,China,37.5777,112.2922,133
China,China,30.6171,102.7103,539
China,China,39.3054,117.323,144
China,China,31.6927,88.0924,1
China,China,41.1129,85.2401,73
China,China,24.974,101.487,172
China,China,29.1832,120.0934,1230
Colombia,Colombia,4.5709,-74.2973,88
Congo (Brazzaville),Congo (Brazzaville),-4.0383,21.7587,2
Congo (Kinshasa),Congo (Kinshasa),-4.0383,21.7587,3
Costa Rica,Costa Rica,9.7489,-83.7534,16
Cote d'Ivoire,Cote d'Ivoire,7.54,-5.5471,37
Croatia,Croatia,45.1,15.2,125
Cuba,Cuba,22,-80,15
Cyprus,Cyprus,35.1264,33.4299,37
Czechia,Czechia,49.8175,15.473,96
Denmark,Denmark,61.8926,-6.9118,99
Denmark,Denmark,71.7069,-42.6043,3
Denmark,Denmark,56.2639,9.5018,1327
Djibouti,Djibouti,11.8251,42.5903,9
Dominica,Dominica,15.415,-61.371,0
Dominican Republic,Dominican Republic,18.7357,-70.1627,17
Ecuador,Ecuador,-1.8312,-78.1834,100
Egypt,Egypt,26,30,247
El Salvador,El Salvador,13.7942,-88.8965,2
Equatorial Guinea,Equatorial Guinea,1.5,10,1
Eritrea,Eritrea,15.1794,39.7823,0
Estonia,Estonia,58.5953,25.0136,62
Eswatini,Eswatini,-26.5225,31.4659,0
Ethiopia,Ethiopia,9.145,40.4897,4
Fiji,Fiji,-17.7134,178.065,0
Finland,Finland,64,26,300
France,France,3.9339,-53.1258,22
France,France,-17.6797,149.4068,0
France,France,16.25,-61.5833,31
France,France,14.6415,-61.0242,50
France,France,-12.8275,45.1662,14
France,France,-20.9043,165.618,1
France,France,-21.1351,55.2471,40
France,France,17.9,-62.8333,1
France,France,18.0708,-63.0501,7
France,France,46.2276,2.2137,16183
Gabon,Gabon,-0.8037,11.6094,1
Gambia,Gambia,13.4432,-15.3101,2
Georgia,Georgia,42.3154,43.3569,36
Germany,Germany,51,9,28700
Ghana,Ghana,7.9465,-1.0232,31
Grenada,Grenada,12.1165,-61.679,0
Greece,Greece,39.0742,21.8243,78
Guatemala,Guatemala,15.7835,-90.2308,15
Guinea,Guinea,9.9456,-9.6966,5
Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804,0
Guyana,Guyana,5,-58.75,0
Haiti,Haiti,18.9712,-72.2852,1
Holy See,Holy See,41.9029,12.4534,0
Honduras,Honduras,15.2,-86.2419,6
Hungary,Hungary,47.1625,19.5033,66
Iceland,Iceland,64.9631,-19.0208,428
India,India,21,78,229
Indonesia,Indonesia,-0.7893,113.9213,164
Iran,Iran,32,53,19736
Iraq,Iraq,33,44,279
Ireland,Ireland,53.1424,-7.6921,25
Israel,Israel,31,35,477
Italy,Italy,43,12,21815
Jamaica,Jamaica,18.1096,-77.2975,8
Japan,Japan,36,138,514
Jordan,Jordan,31.24,36.51,110
Kazakhstan,Kazakhstan,48.0196,66.9237,42
Kenya,Kenya,-0.0236,37.9062,4
"Korea, South","Korea, South",36,128,6463
Kuwait,Kuwait,29.5,47.75,99
Kyrgyzstan,Kyrgyzstan,41.2044,74.7661,9
Latvia,Latvia,56.8796,24.6032,1
Lebanon,Lebanon,33.8547,35.8623,54
Liberia,Liberia,6.4281,-9.4295,3
Libya,Libya,26.3351,17.228331,0
Liechtenstein,Liechtenstein,47.14,9.55,0
Lithuania,Lithuania,55.1694,23.8813,7
Luxembourg,Luxembourg,49.8153,6.1296,500
Madagascar,Madagascar,-18.7669,46.8691,2
Malaysia,Malaysia,2.5,112.5,1005
Maldives,Maldives,3.2028,73.2207,13
Mali,Mali,17.570692,-3.996166,1
Malta,Malta,35.9375,14.3754,5
Mauritania,Mauritania,21.0079,10.9408,2
Mauritius,Mauritius,-20.2,57.5,7
Mexico,Mexico,23.6345,-102.5528,633
